,Country,continent_x,Status,subid
697,Dominican Republic,North America,Above,15
760,El Salvador,North America,Above,14
998,Grenada,North America,Above,13
1014,Guatemala,North America,Above,12
1078,Haiti,North America,Below,11
1094,Honduras,North America,Above,10
1270,Jamaica,North America,Above,9
1654,Mexico,North America,Above,8
1826,Nicaragua,North America,Above,7
1954,Panama,North America,Above,6
2162,Saint Lucia,North America,Above,5
2178,Saint Vincent and the Grenadines,North America,Above,4
2562,The Bahamas,North America,Above,3
2610,Trinidad and Tobago,North America,Above,2
2753,United States of America,North America,Above,1
74,Argentina,South America,Above,12
282,Bolivia,South America,Below,11
329,Brazil,South America,Above,10
505,Chile,South America,Above,9
537,Colombia,South America,Above,8
728,Ecuador,South America,Above,7
1062,Guyana,South America,Below,6
1986,Paraguay,South America,Above,5
2002,Peru,South America,Above,4
2466,Suriname,South America,Above,3
2769,Uruguay,South America,Above,2
2817,Venezuela,South America,Above,1
