,Country,Year,Status,Life expectancy (age),Adult mortality (cases per 1000 population),Infant deaths (cases per 1000 population),Alcohol consumption (litres),Percentage expenditure on health (%),Hepatitis B immunization coverage (%),Measles (cases per 1000 population),BMI,Under-five deaths (cases per 1000 population),Polio immunization coverage (%),Total expenditure on health by government (%),Diphtheria immunization coverage (%),HIV/AIDS deaths (per 1000 live births),GDP (USD),Population,Thinness 1-19 years (%),Thinness 5-9 years (%),Income composition of resources,Schooling (years)
1314,Japan,2013,Developed,83.5,56,2,7.55,94.43428615,,229,28.2,3,99.0,1.25,96.0,0.1,4454.44746,127445.0,2.0,1.7,0.894,15.3
1315,Japan,2012,Developed,83.3,58,2,7.39,121.5869163,,228,27.8,3,99.0,1.17,97.0,0.1,4863.47665,127629.0,1.9,1.7,0.889,15.3
1316,Japan,2011,Developed,82.5,64,3,7.39,9498.729062,,434,27.4,4,96.0,1.7,97.0,0.1,48167.99727,127833.0,1.9,1.6,0.884,15.1
1317,Japan,2010,Developed,83.0,62,3,6.9,863.0061491,,450,26.9,4,98.0,9.58,97.0,0.1,4457.67639,1287.0,1.9,1.6,0.879,15.1
1318,Japan,2009,Developed,83.0,64,3,7.09,899.1785285,,741,26.4,4,99.0,9.51,97.0,0.1,4855.17564,12847.0,1.8,1.6,0.881,15.0
1319,Japan,2008,Developed,82.7,66,3,7.11,7313.175418,,11015,25.9,4,98.0,8.6,98.0,0.1,39339.29757,12863.0,1.8,1.5,0.88,15.0
1320,Japan,2007,Developed,82.6,67,3,7.29,6599.995239,,0,25.4,4,97.0,8.25,98.0,0.1,35275.22843,1281.0,1.8,1.5,0.877,15.0
1321,Japan,2006,Developed,82.4,68,3,7.49,6502.136974,,520,24.9,4,95.0,8.19,98.0,0.1,35433.98896,127854.0,1.7,1.5,0.873,14.9
1322,Japan,2005,Developed,82.0,69,3,7.99,6799.664423,,0,24.4,4,95.0,8.18,98.0,0.1,37217.64873,127773.0,1.7,1.5,0.87,14.9
1323,Japan,2004,Developed,82.1,68,3,7.7,6746.281299,,8752,23.8,4,97.0,8.3,99.0,0.1,37688.72234,127761.0,1.7,1.4,0.866,14.8
1324,Japan,2003,Developed,81.9,7,3,7.83,578.7254273,,8286,23.4,5,97.0,8.0,97.0,0.1,3488.3992,127718.0,1.7,1.4,0.863,14.8
1325,Japan,2002,Developed,81.8,7,3,7.87,5250.249188,,33812,22.9,5,89.0,7.85,96.0,0.1,32289.3554,127445.0,1.7,1.4,0.86,14.7
1326,Japan,2001,Developed,81.5,72,4,8.03,5486.51208,,22552,22.5,5,81.0,7.75,95.0,0.1,33846.46564,127149.0,1.7,1.4,0.856,14.6
1327,Japan,2000,Developed,81.1,74,4,7.97,5926.296654,,22497,22.2,5,98.0,7.53,85.0,0.1,38532.488,126843.0,1.6,1.4,0.852,14.5
