,Country,BMI,Alcohol consumption (litres),Adult mortality (cases per 1000 population),Life expectancy (age),Weight status based on BMI
29,Cape Verde,24.375,3.448,116.1875,72.51875,Normal/Healthy
30,Central African Republic,17.0875,1.231333333,333.0625,48.5125,Underweight
31,Chad,16.31875,0.411333333,227.75,50.3875,Underweight
32,Chile,55.5875,6.978,63.625,79.45,Obese
33,China,21.80625,4.182,73.75,74.2625,Normal/Healthy
34,Colombia,49.54375,4.419333333,124.25,73.2875,Obese
35,Comoros,18.25625,0.134666667,240.9375,61.58125,Underweight
36,Costa Rica,46.725,3.924666667,69.375,78.59375,Obese
37,Croatia,52.35625,12.448,89,76.11875,Obese
38,Cuba,49.4625,4.190666667,57.5625,77.975,Obese
39,Cyprus,53.1625,10.26066667,54.125,79.675,Obese
40,Czechia,55.7125,13.026,71.8125,76.76875,Obese
41,Democratic Republic of the Congo,15.8375,1.424,265.375,55.6875,Underweight
42,Denmark,55.825,10.708,66.0625,79.25625,Obese
43,Djibouti,26.25,0.764,274.6875,60.75625,Overweight
44,Dominican Republic,48.14375,6.030666667,143.5,72.34375,Obese
45,East Timor,14.55,0.235333333,170.375,64.75625,Underweight
46,Ecuador,43.3125,3.807333333,132.125,74.725,Obese
47,Egypt,49.2625,0.188666667,170.625,71.5,Obese
48,El Salvador,45.325,2.692666667,155.0625,71.74375,Obese
49,Equatorial Guinea,17.85625,7.342,279.375,55.3125,Underweight
50,Eritrea,15.15625,0.608,308.625,60.6875,Underweight
51,Estonia,56.68125,9.014666667,169.6875,74.94375,Obese
52,Ethiopia,14.8,1.074666667,285.5625,59.1125,Underweight
53,Federated States of Micronesia,65.15,2.145333333,154.0625,68.2,Obese
54,Fiji,50.5625,1.462666667,125,68.7125,Obese
55,Finland,52.3,9.552666667,68.875,80.7125,Obese
56,France,51.98125,12.40466667,73.125,82.21875,Obese
57,Gabon,28.81875,7.877333333,220.4375,62.24375,Overweight
58,Gambia,20.3,2.134666667,249.625,59.4625,Normal/Healthy
59,Georgia,47.74375,5.623333333,114.9375,73.50625,Obese
60,Germany,51.99375,11.62866667,71.25,81.175,Obese
61,Ghana,21.725,1.268666667,180.0625,60.8625,Normal/Healthy
62,Greece,58.68125,8.803333333,73.625,81.21875,Obese
63,Grenada,40.2125,8.843333333,153.75,73.29375,Obese
64,Guatemala,40.44375,2.268666667,131.1875,71.73125,Obese
65,Guinea,17.46875,0.164666667,259.875,56.0125,Underweight
66,Guinea-Bissau,19.43125,2.26,158.3125,55.36875,Normal/Healthy
67,Guyana,36.38125,7.406,203.9375,65.6375,Obese
68,Haiti,39.275,5.486,168.3125,59.86875,Obese
69,Honduras,39.74375,3.042,142,72.99375,Obese
70,Hungary,56.93125,11.42733333,147.0625,73.825,Obese
71,Iceland,51.075,7.466,49.375,82.44375,Obese
72,India,14.79375,1.942,146.5625,65.41875,Underweight
73,Indonesia,19.95625,0.068666667,166.5625,67.55625,Normal/Healthy
74,Iran,48.63125,0.016,107,73.85625,Obese
75,Iraq,48.59375,0.134666667,136.75,70.35625,Obese
76,Ireland,53.6875,12.654,72.4375,80.15,Obese
77,Israel,54.9875,2.497333333,59.5,81.3,Obese
78,Italy,56.15,8.266666667,54.1875,82.1875,Obese
79,Ivory Coast,21.325,2.837333333,417.3125,50.3875,Normal/Healthy
80,Jamaica,45.425,3.624,141.25,74.29375,Obese
81,Japan,25.60625,7.040666667,57.125,82.5375,Overweight
82,Jordan,53,0.517333333,114.3125,72.9875,Obese
83,Kazakhstan,45.15625,6.641333333,232.0625,66.7625,Obese
84,Kenya,15.5625,1.602,348.5625,57.48125,Underweight
85,Kiribati,69.43125,0.440666667,129.4375,65.15,Obese
86,Kuwait,59.60625,0.021333333,83.25,73.84375,Obese
87,Kyrgyzstan,35.1125,2.267333333,173.6875,69.08125,Obese
88,Laos,14.3625,3.505333333,197.1875,62.38125,Underweight
89,Latvia,51.30625,8.864,161.8125,73.73125,Obese
90,Lebanon,55.3375,1.785333333,65.3125,74.2,Obese
91,Lesotho,25.2375,2.086666667,550.0625,48.78125,Overweight
92,Liberia,19.9875,3.258,246.9375,57.525,Normal/Healthy
93,Libya,54.8375,0.01,139.6875,72.4875,Obese
94,Lithuania,49.23125,12.63266667,117.25,72.80625,Obese
95,Luxembourg,47.825,11.922,67.5625,80.78125,Obese
96,Madagascar,14.76875,0.82,228.8125,62.74375,Underweight
97,Malawi,16.78125,0.919333333,424.4375,49.89375,Underweight
98,Malaysia,29.16875,0.490666667,118.5625,73.75625,Overweight
99,Maldives,19.29375,1.407333333,83.1875,75.5375,Normal/Healthy
100,Mali,17.2125,0.438,202.125,54.9375,Underweight
101,Malta,66.18125,7.13,60.75,80.3625,Obese
102,Mauritania,22.475,0.013333333,159.9375,62.8,Normal/Healthy
103,Mauritius,25.98125,2.906666667,163.5625,72.7125,Overweight
104,Mexico,51.41875,5.114,111.0625,75.71875,Obese
105,Moldova,43.90625,9.545333333,210.3125,69.98125,Obese
106,Mongolia,39.79375,2.354,222.125,65.8875,Obese
107,Montenegro,50.4875,2.584285714,92.75,74.5,Obese
108,Morocco,48.61875,0.518666667,95.1875,72.15625,Obese
109,Mozambique,16.14375,1.266,226.25,53.39375,Underweight
110,Myanmar,17.125,0.351333333,154.3125,64.2,Underweight
111,Namibia,28.225,4.710666667,313.1875,60.4,Overweight
112,Nepal,15.175,0.19,147.25,66.48125,Underweight
113,Netherlands,53.96875,8.846666667,61.625,81.13125,Obese
114,New Zealand,56.625,9.16625,71.5,81.3375,Obese
115,Nicaragua,42.68125,3.596666667,162.375,73.45,Obese
116,Niger,16.3625,0.091333333,232.4375,56.98125,Underweight
117,Nigeria,19.75,8.646666667,248.5,51.35625,Normal/Healthy
118,North Korea,25.625,3,160.8125,69.19375,Overweight
119,North Macedonia,52.90625,1.858666667,60.8125,74.1125,Obese
120,Norway,50.8125,6.234375,66.25,81.79375,Obese
121,Oman,44.78125,0.534666667,67.75,74.84375,Obese
122,Pakistan,18.3125,0.026,154,64.5,Underweight
123,Panama,49.3125,6.212,115.875,76.4875,Obese
124,Papua New Guinea,40.7875,0.580666667,266.5625,61.68125,Obese
125,Paraguay,39.525,5.527333333,139.9375,73.1125,Obese
126,Peru,44.86875,4.278666667,122.4375,73.6625,Obese
127,Philippines,19.1875,4.510666667,217.9375,67.575,Normal/Healthy
128,Poland,53.73125,9.998666667,107.5625,75.65,Obese
129,Portugal,43.63125,12.21133333,58.875,79.99375,Obese
130,Qatar,65.65,1.081333333,75.375,77.03125,Obese
131,Republic of Serbia,52.1375,8.682666667,130.4375,73.95625,Obese
132,Republic of the Congo,20.925,2.173333333,322.75,59.04375,Normal/Healthy
133,Romania,52.25,8.968666667,156.0625,74.05,Obese
134,Russia,53.31875,11.128,224.5625,67.7625,Obese
135,Rwanda,14.75,5.636,246.8125,59.3125,Underweight
136,Saint Lucia,39.59375,11.51133333,146.25,73.6,Obese
137,Saint Vincent and the Grenadines,41.99375,6.11,152.0625,73.475,Obese
138,Samoa,62.90625,2.704,133.5625,73.61875,Obese
139,Sao Tome and Principe,20.85,4.191333333,164.9375,65.1625,Normal/Healthy
140,Saudi Arabia,55.3125,0.074666667,52.125,73.46875,Obese
141,Senegal,18.44375,0.309333333,174.1875,62.56875,Underweight
142,Seychelles,28.40625,6.201333333,161.1875,72.375,Overweight
143,Sierra Leone,18.30625,3.154666667,357.8125,46.1125,Underweight
144,Singapore,25.90625,1.7625,62,81.475,Overweight
145,Slovakia,51.81875,10.47333333,118.0625,74.75,Obese
146,Slovenia,52.2,10.75466667,76.4375,79.73125,Obese
147,Solomon Islands,39.175,0.800666667,140.0625,67.7125,Obese
148,Somalia,18.6875,0.01,316.75,53.31875,Normal/Healthy
149,South Africa,38.15,7.588666667,412.75,57.5,Obese
150,South Korea,23.24375,8.855333333,76.1875,80.4875,Normal/Healthy
152,Spain,58.66875,10.024,63.625,82.06875,Obese
153,Sri Lanka,17.275,2.096,144.375,73.4,Underweight
155,Suriname,50.15625,4.984,166,70.08125,Obese
156,Sweden,56.25,6.926666667,59.1875,82.51875,Obese
157,Switzerland,51.4375,10.338,55.75,82.33125,Obese
158,Syria,47.3125,0.804666667,139.625,70.85,Obese
159,Tajikistan,33.1125,0.330666667,177.5625,66.65625,Obese
160,Thailand,21.59375,6.131333333,160.375,73.08125,Normal/Healthy
161,The Bahamas,52.88125,10.27133333,152.0625,74.2875,Obese
162,Togo,17.99375,0.947333333,311.3125,56.6625,Underweight
163,Tonga,62.94375,1.167333333,129.625,72.53125,Obese
164,Trinidad and Tobago,37.73125,6.044666667,163.375,71.06875,Obese
165,Tunisia,48.25625,1.310666667,18.75,74.35625,Obese
166,Turkey,56.4125,1.421333333,98.375,73.9125,Obese
167,Turkmenistan,38.11875,2.654666667,214.8125,64.61875,Obese
168,Uganda,15.525,8.050666667,300.1875,55.70625,Underweight
169,Ukraine,50.89375,7.369333333,205.75,69.9375,Obese
170,United Arab Emirates,53.80625,1.75,67.0625,75.7,Obese
171,United Kingdom,55.3875,11.13125,70.375,80.79375,Obese
172,United Republic of Tanzania,17.31875,3.582666667,304.4375,56.00625,Underweight
173,United States of America,58.45,8.579333333,58.1875,78.0625,Obese
174,Uruguay,52.925,6.172666667,119.9375,76.075,Obese
175,Uzbekistan,34.80625,1.608666667,184.8125,68.03125,Obese
176,Vanuatu,44.25625,0.806666667,137.875,71.3875,Obese
177,Venezuela,54.4875,7.42,163,73.3875,Obese
178,Vietnam,11.1875,3.087333333,126.5625,74.775,Underweight
179,Yemen,33.4875,0.047333333,211.8125,63.8625,Obese
180,Zambia,17.45,2.239333333,354.3125,53.90625,Underweight
181,Zimbabwe,25.1375,4.482,462.375,50.4875,Overweight
182,eSwatini,25.5,4.463333333,339,51.325,Overweight
