,Schooling (years),HIV/AIDS deaths (per 1000 live births)
137,15.0,0.1
138,14.9,0.1
139,14.7,0.1
140,14.7,0.1
141,16.1,0.1
142,15.5,0.1
143,15.4,0.1
144,12.7,0.1
145,12.2,0.1
146,11.9,0.1
147,11.8,0.1
148,11.7,0.1
149,11.7,0.1
150,11.6,0.1
151,11.6,0.1
152,11.6,0.1
153,10.7,0.1
154,11.2,0.1
155,11.0,0.1
156,10.8,0.1
157,10.6,0.1
158,10.4,0.1
159,10.1,0.1
160,14.5,0.1
161,14.5,0.1
162,14.5,0.1
163,14.5,0.1
164,14.4,0.1
165,14.4,0.1
166,14.4,0.1
167,14.4,0.1
168,14.4,0.1
169,14.2,0.1
170,14.0,0.1
171,13.9,0.1
172,13.7,0.1
173,13.5,0.1
174,13.3,0.1
175,13.2,0.1
176,10.2,0.1
177,10.0,0.1
178,10.0,0.1
179,9.9,0.1
180,9.4,0.1
181,8.9,0.1
182,8.4,0.1
183,8.6,0.1
184,8.6,0.1
185,8.4,0.1
186,8.2,0.1
187,8.1,0.1
188,7.9,0.1
189,7.7,0.1
190,7.5,0.1
191,7.3,0.1
192,15.3,0.1
193,15.3,0.1
194,15.3,0.1
195,15.3,0.1
196,15.5,0.1
197,15.8,0.1
198,15.5,0.1
199,15.3,0.1
200,15.0,0.1
201,14.8,0.1
202,14.6,0.1
203,14.4,0.2
204,14.2,0.4
205,14.0,0.8
206,14.0,0.7
207,14.0,0.9
208,15.6,0.1
209,15.7,0.1
210,15.7,0.1
211,15.6,0.1
212,15.5,0.1
213,15.5,0.1
214,15.4,0.1
215,15.1,0.1
216,14.9,0.1
217,14.6,0.1
218,14.4,0.1
219,14.1,0.1
220,13.9,0.1
221,13.6,0.1
222,13.3,0.1
223,13.1,0.1
224,16.6,0.1
225,16.3,0.1
226,16.3,0.1
227,16.2,0.1
228,16.1,0.1
229,15.9,0.1
230,15.8,0.1
231,15.8,0.1
232,15.8,0.1
233,15.7,0.1
234,15.7,0.1
235,18.8,0.1
236,18.6,0.1
237,18.8,0.1
238,18.2,0.1
239,18.0,0.1
240,12.8,0.2
241,12.8,0.2
242,12.9,0.2
243,12.5,0.1
244,12.4,0.5
245,12.4,0.2
246,12.7,0.3
247,12.8,0.1
248,12.8,0.6
249,12.3,0.6
250,12.8,0.8
251,12.5,0.8
252,12.2,1.5
253,11.9,0.1
254,11.8,0.4
255,11.7,0.3
256,10.7,1.0
257,10.7,1.1
258,10.3,1.2
259,10.0,1.3
260,9.8,1.4
261,9.5,1.4
262,9.3,1.6
263,9.1,1.8
264,8.9,2.0
265,8.7,2.0
266,8.5,2.1
267,8.1,2.1
268,7.7,2.1
269,7.3,2.1
270,6.6,2.1
271,6.4,2.0
272,12.5,0.5
273,12.5,0.5
274,12.6,0.6
275,12.3,0.6
276,11.9,0.5
277,11.4,0.5
278,10.9,0.4
279,10.5,0.4
280,10.1,0.3
281,9.6,0.3
282,9.2,0.3
283,8.8,0.3
284,8.4,0.2
285,8.0,0.1
286,7.6,0.1
287,7.3,0.1
288,13.8,0.1
289,13.8,0.1
290,13.8,0.1
291,13.8,0.1
292,13.8,0.2
293,13.8,0.2
294,13.8,0.2
295,14.0,0.2
296,14.1,0.2
297,14.3,0.2
298,14.4,0.2
299,14.6,0.2
300,14.4,0.2
301,14.0,0.1
302,13.7,0.1
303,13.3,0.1
304,14.2,0.1
305,14.2,0.1
306,14.2,0.1
307,13.9,0.1
308,13.4,0.1
309,13.3,0.1
310,13.3,0.1
311,13.1,0.1
312,12.9,0.1
313,12.7,0.1
314,12.5,0.1
315,12.3,0.1
316,12.1,0.1
317,11.9,0.1
318,11.6,0.1
319,0.0,0.1
320,12.6,2.2
321,12.6,2.3
322,12.6,2.8
323,12.5,4.4
324,12.4,5.5
325,12.3,6.2
326,12.2,9.0
327,12.1,12.7
328,12.1,13.4
329,11.9,14.4
330,11.9,20.6
331,11.8,28.4
332,11.8,31.9
333,11.9,34.6
334,11.8,37.2
335,11.7,38.8
336,15.2,0.1
337,15.2,0.1
338,14.2,0.1
339,14.2,0.1
340,14.0,0.1
341,13.8,0.1
342,13.8,0.1
343,13.3,0.1
344,13.5,0.1
345,13.8,0.1
346,13.8,0.1
347,14.0,0.1
348,14.8,0.1
349,14.6,0.1
350,14.3,0.1
351,14.1,0.1
352,14.9,0.1
353,15.0,0.1
354,14.9,0.1
355,14.4,0.1
356,14.1,0.1
357,14.2,0.1
358,14.1,0.1
359,14.2,0.1
360,14.3,0.1
361,14.3,0.1
362,14.1,0.1
363,13.7,0.1
364,13.4,0.1
365,13.3,0.1
366,13.4,0.1
367,13.4,0.1
368,15.0,0.1
369,14.8,0.1
370,14.4,0.1
371,14.3,0.1
372,14.2,0.1
373,13.9,0.1
374,13.8,0.1
375,13.8,0.1
376,13.5,0.1
377,13.5,0.1
378,13.5,0.1
379,13.3,0.1
380,12.9,0.1
381,12.9,0.1
382,12.9,0.1
383,12.9,0.1
384,7.7,0.6
385,7.7,0.6
386,7.5,0.7
387,7.2,0.8
388,6.7,0.9
389,6.3,1.0
390,5.9,1.1
391,5.4,1.5
392,4.9,1.7
393,4.7,2.0
394,4.3,2.3
395,3.9,2.5
396,3.8,2.9
397,3.6,3.2
398,3.5,3.6
399,3.4,4.0
400,10.6,0.7
401,10.6,0.7
402,10.5,1.0
403,10.3,1.2
404,9.9,1.5
405,9.3,1.9
406,8.6,2.4
407,7.9,2.9
408,7.2,3.4
409,5.9,3.8
410,5.6,4.3
411,5.2,4.8
412,4.7,5.1
413,4.4,5.2
414,4.5,5.3
415,4.5,5.2
416,10.9,0.2
417,10.9,0.2
418,10.8,0.2
419,10.7,0.3
420,10.7,0.3
421,10.6,0.5
422,10.5,0.6
423,10.5,0.7
424,10.3,0.9
425,10.1,1.1
426,10.0,1.4
427,9.7,1.7
428,9.3,1.9
429,8.2,2.1
430,7.6,2.2
431,7.2,2.1
432,10.4,3.5
433,10.4,3.7
434,10.4,4.0
435,10.4,4.6
436,10.0,4.9
437,9.7,5.5
438,9.2,6.3
439,8.8,6.7
440,8.0,7.0
441,8.2,7.2
442,8.3,7.4
443,8.2,7.5
444,8.1,7.7
445,8.4,7.8
446,7.1,7.9
447,6.9,7.7
448,16.3,0.1
449,15.9,0.1
450,15.9,0.1
451,15.9,0.1
452,15.9,0.1
453,15.9,0.1
454,15.9,0.1
455,15.8,0.1
456,15.8,0.1
457,15.8,0.1
458,15.8,0.1
459,15.8,0.1
460,15.8,0.1
461,15.8,0.1
462,15.8,0.1
463,15.9,0.1
464,13.5,0.2
465,13.5,0.2
466,13.6,0.2
467,13.2,0.3
468,13.1,0.3
469,12.7,0.4
470,12.4,0.4
471,12.2,0.4
472,11.9,0.6
473,11.9,0.6
474,11.2,0.8
475,11.1,0.8
476,11.3,0.9
477,11.3,0.8
478,11.0,0.8
479,11.3,0.8
480,7.1,4.4
481,7.1,4.5
482,7.1,5.1
483,7.1,5.1
484,6.8,5.8
485,6.6,6.6
486,6.4,7.3
487,6.3,8.3
488,6.2,9.0
489,6.0,10.0
490,5.9,11.2
491,5.7,12.0
492,5.6,12.8
493,5.4,13.4
494,5.3,13.9
495,5.2,14.3
496,7.3,2.8
497,7.3,2.9
498,7.3,3.1
499,7.3,3.6
500,6.7,3.9
501,6.7,4.1
502,6.3,4.4
503,6.0,4.7
504,5.7,4.9
505,5.5,5.1
506,5.6,5.2
507,5.6,5.2
508,5.4,5.1
509,5.1,5.0
510,4.9,4.8
511,4.7,4.6
512,16.3,0.1
513,16.2,0.1
514,15.6,0.1
515,15.5,0.1
516,15.4,0.1
517,15.2,0.1
518,15.3,0.1
519,15.2,0.1
520,14.8,0.1
521,14.9,0.1
522,14.6,0.1
523,14.3,0.1
524,14.0,0.1
525,13.9,0.1
526,13.7,0.1
527,13.5,0.1
528,13.5,0.1
529,13.1,0.1
530,12.7,0.1
531,12.4,0.1
532,12.8,0.1
533,12.5,0.1
534,12.2,0.1
535,11.9,0.1
536,11.4,0.1
537,11.0,0.1
538,10.6,0.1
539,10.2,0.1
540,9.9,0.1
541,9.7,0.1
542,9.6,0.1
543,9.5,0.1
544,13.6,0.1
545,13.6,0.1
546,13.3,0.1
547,13.2,0.1
548,13.0,0.1
549,12.8,0.1
550,12.4,0.1
551,12.2,0.1
552,11.9,0.1
553,11.5,0.1
554,11.1,0.1
555,11.3,0.1
556,11.6,0.1
557,11.5,0.1
558,11.4,0.1
559,11.3,0.1
560,11.1,0.8
561,11.1,0.8
562,10.9,0.8
563,10.8,0.8
564,10.6,0.2
565,10.5,0.1
566,10.3,0.1
567,10.2,0.1
568,10.0,0.1
569,9.9,0.1
570,9.7,0.1
571,9.5,0.1
572,9.2,0.1
573,8.8,0.1
574,8.5,0.1
575,8.2,0.1
576,14.2,0.1
577,13.9,0.1
578,13.7,0.1
579,13.6,0.1
580,13.4,0.1
581,13.3,0.1
582,13.1,0.1
583,12.9,0.1
584,12.8,0.1
585,12.6,0.1
586,12.4,0.1
587,12.2,0.1
588,12.1,0.1
589,11.9,0.1
590,11.7,0.1
591,11.6,0.1
592,15.3,0.1
593,15.1,0.1
594,14.9,0.1
595,14.6,0.1
596,14.5,0.1
597,14.2,0.1
598,14.2,0.1
599,14.3,0.1
600,14.3,0.1
601,13.9,0.1
602,13.6,0.1
603,13.3,0.1
604,12.9,0.1
605,12.6,0.1
606,12.3,0.1
607,12.2,0.1
608,13.9,0.1
609,14.0,0.1
610,14.7,0.1
611,15.7,0.1
612,16.5,0.1
613,17.6,0.1
614,17.7,0.1
615,17.1,0.1
616,16.0,0.1
617,14.7,0.1
618,14.2,0.1
619,13.2,0.1
620,12.9,0.1
621,12.5,0.1
622,12.3,0.1
623,12.1,0.1
624,14.3,0.1
625,14.0,0.1
626,13.8,0.1
627,13.8,0.1
628,13.8,0.1
629,14.6,0.1
630,14.1,0.1
631,13.7,0.1
632,13.5,0.1
633,13.4,0.1
634,13.5,0.1
635,13.4,0.1
636,13.0,0.1
637,12.5,0.1
638,12.4,0.1
639,12.5,0.1
640,,0.1
641,,0.1
642,,0.1
643,,0.1
644,,0.1
645,,0.1
646,,0.1
647,,0.1
648,,0.1
649,,0.1
650,,0.1
651,,0.1
652,,0.1
653,,0.1
654,,0.1
655,,0.1
656,,1.1
657,,1.1
658,,1.2
659,,1.5
660,,1.6
661,,1.6
662,,1.7
663,,1.8
664,,1.9
665,,2.0
666,,2.0
667,,2.1
668,,2.2
669,,2.4
670,,2.4
671,,2.5
672,19.2,0.1
673,19.2,0.1
674,18.7,0.1
675,18.4,0.1
676,16.9,0.1
677,16.8,0.1
678,16.8,0.1
679,16.8,0.1
680,16.7,0.1
681,16.9,0.1
682,16.6,0.1
683,16.5,0.1
684,16.3,0.1
685,16.6,0.1
686,16.2,0.1
687,16.5,0.1
688,6.3,2.1
689,6.3,2.1
690,6.3,2.1
691,6.3,1.9
692,5.9,2.7
693,5.5,3.1
694,5.3,3.2
695,5.0,3.3
696,4.5,3.5
697,4.3,3.7
698,4.0,3.9
699,3.7,4.0
700,3.5,4.2
701,3.3,4.3
702,2.9,4.3
703,2.9,4.1
704,13.2,0.3
705,13.2,0.3
706,13.2,0.3
707,13.1,0.4
708,13.0,0.7
709,12.9,0.9
710,12.9,1.2
711,12.8,1.4
712,12.7,1.6
713,12.6,1.8
714,12.6,2.0
715,12.5,2.1
716,12.4,2.3
717,12.3,2.4
718,12.3,2.5
719,12.2,2.5
720,12.5,0.1
721,12.5,0.1
722,12.5,0.1
723,12.5,0.1
724,12.5,0.1
725,12.4,0.1
726,12.1,0.1
727,11.7,0.1
728,11.3,0.1
729,11.0,0.1
730,10.6,0.1
731,10.2,0.1
732,9.8,0.1
733,9.8,0.1
734,9.8,0.1
735,0.0,0.1
736,14.0,0.1
737,14.0,0.1
738,13.4,0.1
739,13.3,0.1
740,13.2,0.1
741,13.1,0.1
742,13.1,0.1
743,13.0,0.1
744,12.9,0.2
745,12.8,0.3
746,12.8,0.3
747,12.7,0.3
748,12.6,0.3
749,12.5,0.3
750,12.4,0.3
751,12.4,0.3
752,13.1,0.1
753,13.1,0.1
754,12.8,0.1
755,12.4,0.1
756,12.4,0.1
757,12.2,0.1
758,12.0,0.1
759,11.9,0.1
760,11.7,0.1
761,11.5,0.1
762,11.4,0.1
763,11.2,0.1
764,11.3,0.1
765,11.2,0.1
766,11.1,0.1
767,11.0,0.1
768,13.2,0.2
769,13.2,0.2
770,13.2,0.2
771,13.2,0.3
772,13.0,0.3
773,12.9,0.3
774,12.8,0.3
775,13.4,0.3
776,12.9,0.3
777,12.9,0.2
778,12.7,0.2
779,12.4,0.3
780,12.0,0.3
781,11.8,0.4
782,11.6,0.4
783,11.3,0.4
784,9.2,4.2
785,9.2,4.4
786,9.2,5.7
787,9.2,8.2
788,9.2,7.7
789,9.2,7.2
790,9.1,7.3
791,9.1,6.3
792,9.0,5.9
793,9.0,5.3
794,8.7,4.9
795,8.5,4.4
796,8.4,3.6
797,8.2,2.9
798,8.0,2.3
799,0.0,1.9
800,5.0,0.4
801,5.0,0.4
802,5.0,0.5
803,5.0,0.6
804,5.0,0.7
805,5.1,0.9
806,5.2,1.0
807,5.2,1.1
808,5.3,1.3
809,5.3,1.4
810,5.4,1.6
811,5.0,1.8
812,4.7,1.9
813,4.4,1.9
814,4.3,2.0
815,3.9,1.9
816,16.5,0.1
817,16.5,0.1
818,16.5,0.1
819,16.5,0.1
820,16.4,0.1
821,16.2,0.1
822,16.1,0.1
823,16.1,0.1
824,16.1,0.1
825,16.1,0.1
826,15.9,0.1
827,15.7,0.1
828,15.6,0.1
829,15.4,0.1
830,15.0,0.1
831,14.4,0.1
832,11.4,7.1
833,11.4,7.3
834,11.4,9.8
835,11.3,12.2
836,11.2,15.7
837,11.0,21.6
838,10.8,33.7
839,10.6,40.2
840,10.5,40.7
841,9.9,43.7
842,9.7,49.1
843,9.4,50.3
844,9.1,50.6
845,9.2,49.9
846,9.3,48.8
847,9.4,46.4
848,8.4,0.6
849,8.4,0.6
850,8.4,0.9
851,8.4,1.2
852,8.2,1.4
853,8.1,1.7
854,8.1,2.0
855,7.6,2.4
856,7.1,2.8
857,6.6,3.3
858,5.8,3.7
859,5.4,4.1
860,5.2,4.4
861,4.9,4.6
862,4.3,4.9
863,3.9,5.0
864,11.7,0.1
865,11.7,0.1
866,11.7,0.1
867,11.7,0.1
868,11.7,0.1
869,11.5,0.1
870,11.4,0.1
871,11.2,0.1
872,11.0,0.1
873,10.9,0.1
874,10.7,0.1
875,10.5,0.1
876,10.4,0.1
877,10.2,0.1
878,10.1,0.1
879,0.0,0.1
880,15.3,0.1
881,15.2,0.1
882,15.0,0.1
883,14.9,0.1
884,14.7,0.1
885,14.6,0.1
886,14.5,0.1
887,14.3,0.1
888,14.2,0.1
889,14.0,0.1
890,13.9,0.1
891,13.4,0.1
892,13.3,0.1
893,13.3,0.1
894,13.2,0.1
895,13.1,0.1
896,17.0,0.1
897,17.0,0.1
898,17.0,0.1
899,17.0,0.1
900,16.9,0.1
901,16.8,0.1
902,17.0,0.1
903,17.1,0.1
904,17.2,0.1
905,17.2,0.1
906,17.1,0.1
907,18.3,0.1
908,18.1,0.1
909,18.0,0.1
910,17.7,0.1
911,17.3,0.1
912,16.3,0.1
913,16.2,0.1
914,16.2,0.1
915,16.1,0.1
916,16.1,0.1
917,16.0,0.1
918,16.0,0.1
919,16.1,0.1
920,16.1,0.1
921,16.1,0.1
922,15.5,0.1
923,15.5,0.1
924,15.4,0.1
925,15.5,0.1
926,15.6,0.1
927,15.7,0.1
928,12.6,2.7
929,12.6,2.8
930,12.5,3.7
931,12.5,4.9
932,12.5,6.0
933,12.5,7.0
934,12.4,8.0
935,12.4,8.9
936,12.4,10.0
937,12.4,10.7
938,12.4,10.9
939,12.3,11.1
940,12.3,11.0
941,12.3,10.7
942,12.3,10.1
943,12.2,9.5
944,8.9,1.7
945,8.9,1.7
946,8.9,1.6
947,8.8,1.4
948,8.7,1.8
949,8.8,2.1
950,8.9,2.7
951,8.6,3.0
952,8.4,3.1
953,8.1,3.0
954,7.8,3.0
955,7.6,2.9
956,7.3,2.7
957,7.0,2.5
958,6.8,2.3
959,6.5,2.0
960,13.9,0.1
961,13.5,0.1
962,13.5,0.1
963,13.4,0.1
964,13.3,0.1
965,13.3,0.1
966,12.8,0.1
967,13.1,0.1
968,12.5,0.1
969,12.6,0.1
970,12.2,0.1
971,12.0,0.1
972,11.8,0.1
973,11.8,0.1
974,11.7,0.1
975,11.4,0.1
976,17.1,0.1
977,17.0,0.1
978,16.9,0.1
979,16.9,0.1
980,16.8,0.1
981,16.7,0.1
982,16.7,0.1
983,16.6,0.1
984,16.6,0.1
985,16.5,0.1
986,16.4,0.1
987,16.4,0.1
988,16.3,0.1
989,16.3,0.1
990,16.2,0.1
991,16.2,0.1
992,11.4,0.7
993,11.7,0.8
994,11.5,0.9
995,11.2,0.9
996,10.9,1.3
997,10.5,1.9
998,10.4,2.1
999,9.8,2.2
1000,9.1,2.6
1001,8.7,2.9
1002,8.1,3.1
1003,7.7,3.2
1004,7.9,3.4
1005,7.6,3.5
1006,8.0,3.5
1007,7.7,3.6
1008,17.2,0.1
1009,17.2,0.1
1010,17.1,0.1
1011,16.8,0.1
1012,16.7,0.1
1013,16.4,0.1
1014,16.2,0.1
1015,15.9,0.1
1016,16.4,0.1
1017,16.3,0.1
1018,15.6,0.1
1019,15.3,0.1
1020,15.2,0.1
1021,14.6,0.1
1022,14.2,0.1
1023,13.9,0.1
1024,15.8,0.1
1025,15.8,0.1
1026,15.8,0.1
1027,15.8,0.1
1028,15.8,0.1
1029,15.8,0.1
1030,15.6,0.1
1031,15.4,0.1
1032,15.3,0.1
1033,15.1,0.1
1034,14.9,0.1
1035,14.8,0.1
1036,14.6,0.1
1037,14.4,0.1
1038,14.3,0.1
1039,14.1,0.1
1040,10.7,0.4
1041,10.7,0.4
1042,10.7,0.4
1043,10.6,0.4
1044,10.5,0.4
1045,10.5,0.4
1046,10.4,0.4
1047,10.4,0.4
1048,10.1,0.4
1049,9.8,0.4
1050,9.6,0.4
1051,9.3,0.4
1052,9.0,0.4
1053,8.8,0.3
1054,8.5,0.3
1055,8.2,0.2
1056,8.8,0.5
1057,8.6,0.5
1058,8.5,1.0
1059,8.5,1.9
1060,8.4,2.0
1061,8.3,2.2
1062,8.1,2.3
1063,7.9,2.3
1064,7.6,2.4
1065,7.1,2.6
1066,6.6,2.7
1067,5.1,2.8
1068,5.9,2.9
1069,5.5,3.0
1070,5.1,3.0
1071,4.8,3.0
1072,9.2,3.2
1073,9.2,3.4
1074,9.1,4.5
1075,9.1,5.3
1076,9.0,5.7
1077,8.9,5.9
1078,8.9,6.0
1079,8.8,6.0
1080,8.8,5.7
1081,8.3,5.6
1082,8.0,5.4
1083,7.7,5.0
1084,7.4,4.6
1085,7.1,4.1
1086,6.7,3.6
1087,6.4,3.1
1088,10.3,0.3
1089,10.3,0.3
1090,10.3,0.3
1091,10.6,0.3
1092,10.3,0.4
1093,10.2,0.4
1094,10.5,0.3
1095,10.7,0.8
1096,11.2,1.9
1097,11.7,1.1
1098,11.4,1.8
1099,11.2,1.9
1100,11.1,2.1
1101,11.0,2.3
1102,10.9,1.7
1103,10.9,1.1
1104,9.1,0.5
1105,9.1,0.5
1106,9.1,0.5
1107,8.9,0.8
1108,8.7,1.5
1109,8.6,1.9
1110,8.5,2.0
1111,8.4,2.4
1112,8.4,2.7
1113,8.3,3.3
1114,8.2,3.9
1115,8.1,4.3
1116,8.1,4.6
1117,8.0,4.8
1118,7.9,5.0
1119,7.8,5.1
1120,11.2,0.3
1121,11.4,0.3
1122,11.6,0.4
1123,11.6,0.4
1124,11.7,0.4
1125,11.5,0.4
1126,11.3,0.5
1127,11.1,0.6
1128,10.9,0.7
1129,10.8,0.8
1130,10.6,0.9
1131,10.4,1.2
1132,10.3,1.4
1133,10.1,1.5
1134,9.9,1.6
1135,9.8,1.7
1136,15.6,0.1
1137,15.8,0.1
1138,15.4,0.1
1139,15.4,0.1
1140,15.4,0.1
1141,15.3,0.1
1142,15.3,0.1
1143,15.3,0.1
1144,15.3,0.1
1145,15.2,0.1
1146,15.0,0.1
1147,15.3,0.1
1148,14.9,0.1
1149,14.6,0.1
1150,14.2,0.1
1151,13.9,0.1
1152,19.0,0.1
1153,19.0,0.1
1154,19.0,0.1
1155,18.7,0.1
1156,18.6,0.1
1157,18.4,0.1
1158,18.4,0.1
1159,18.2,0.1
1160,18.2,0.1
1161,18.1,0.1
1162,17.9,0.1
1163,18.3,0.1
1164,17.6,0.1
1165,17.2,0.1
1166,17.1,0.1
1167,16.8,0.1
1168,11.6,0.2
1169,11.6,0.2
1170,11.5,0.2
1171,11.3,0.2
1172,10.8,0.2
1173,10.4,0.2
1174,10.5,0.2
1175,10.2,0.3
1176,9.9,0.3
1177,9.7,0.3
1178,9.4,0.3
1179,9.2,0.3
1180,8.6,0.3
1181,8.4,0.3
1182,8.3,0.3
1183,8.3,0.3
1184,12.9,0.3
1185,12.9,0.3
1186,12.9,0.3
1187,12.6,0.3
1188,12.3,0.3
1189,12.1,0.3
1190,11.7,0.3
1191,11.7,0.2
1192,11.0,0.2
1193,10.9,0.1
1194,11.1,0.1
1195,11.0,0.1
1196,10.8,0.1
1197,10.6,0.1
1198,10.6,0.1
1199,10.7,0.1
1200,14.8,0.1
1201,14.9,0.1
1202,15.0,0.1
1203,13.6,0.1
1204,13.1,0.1
1205,12.9,0.1
1206,12.8,0.1
1207,12.1,0.1
1208,11.8,0.1
1209,11.4,0.1
1210,11.4,0.1
1211,11.8,0.1
1212,11.8,0.1
1213,11.9,0.1
1214,11.6,0.1
1215,11.6,0.1
1216,10.1,0.1
1217,10.1,0.1
1218,10.3,0.1
1219,10.5,0.1
1220,10.4,0.1
1221,10.4,0.1
1222,10.3,0.1
1223,10.3,0.1
1224,10.2,0.1
1225,10.2,0.1
1226,10.1,0.1
1227,9.8,0.1
1228,9.4,0.1
1229,9.1,0.1
1230,8.7,0.1
1231,8.6,0.1
1232,18.6,0.1
1233,18.6,0.1
1234,18.6,0.1
1235,18.5,0.1
1236,18.5,0.1
1237,18.2,0.1
1238,17.9,0.1
1239,17.9,0.1
1240,17.6,0.1
1241,17.6,0.1
1242,17.5,0.1
1243,17.1,0.1
1244,16.8,0.1
1245,16.5,0.1
1246,16.4,0.1
1247,16.2,0.1
1248,16.0,0.1
1249,16.0,0.1
1250,15.9,0.1
1251,15.9,0.1
1252,15.8,0.1
1253,15.7,0.1
1254,15.6,0.1
1255,15.8,0.1
1256,15.7,0.1
1257,15.7,0.1
1258,15.8,0.1
1259,15.9,0.1
1260,16.0,0.1
1261,15.3,0.1
1262,15.1,0.1
1263,15.2,0.1
1264,16.3,0.1
1265,16.3,0.1
1266,16.5,0.1
1267,16.6,0.1
1268,16.4,0.1
1269,16.4,0.1
1270,16.3,0.1
1271,16.3,0.1
1272,16.1,0.1
1273,16.0,0.1
1274,15.8,0.1
1275,15.6,0.1
1276,15.4,0.1
1277,15.2,0.1
1278,14.9,0.1
1279,14.8,0.1
1280,,1.9
1281,,2.0
1282,,2.4
1283,,2.9
1284,,3.3
1285,,3.3
1286,,3.7
1287,,4.1
1288,,5.3
1289,,5.8
1290,,6.1
1291,,6.5
1292,,6.7
1293,,6.9
1294,,7.0
1295,,7.1
1296,12.8,0.5
1297,12.8,0.5
1298,12.8,0.6
1299,12.8,0.5
1300,12.8,0.6
1301,12.7,0.5
1302,12.7,0.6
1303,12.6,0.4
1304,12.5,0.9
1305,12.5,1.5
1306,12.4,1.9
1307,11.1,2.3
1308,11.9,2.3
1309,11.7,2.3
1310,10.9,2.2
1311,11.4,2.2
1312,15.3,0.1
1313,15.3,0.1
1314,15.3,0.1
1315,15.3,0.1
1316,15.1,0.1
1317,15.1,0.1
1318,15.0,0.1
1319,15.0,0.1
1320,15.0,0.1
1321,14.9,0.1
1322,14.9,0.1
1323,14.8,0.1
1324,14.8,0.1
1325,14.7,0.1
1326,14.6,0.1
1327,14.5,0.1
1328,13.1,0.1
1329,13.1,0.1
1330,13.1,0.1
1331,12.9,0.1
1332,13.1,0.1
1333,13.2,0.1
1334,13.6,0.1
1335,13.6,0.1
1336,13.6,0.1
1337,13.7,0.1
1338,13.8,0.1
1339,13.5,0.1
1340,13.2,0.1
1341,13.0,0.1
1342,12.7,0.1
1343,12.6,0.1
1344,15.0,0.1
1345,15.0,0.1
1346,15.0,0.1
1347,14.7,0.1
1348,14.4,0.1
1349,14.5,0.1
1350,14.6,0.1
1351,14.6,0.1
1352,14.7,0.1
1353,14.3,0.1
1354,13.9,0.1
1355,13.5,0.1
1356,13.1,0.1
1357,12.7,0.1
1358,12.3,0.1
1359,12.1,0.1
1360,11.1,2.8
1361,11.1,2.9
1362,11.1,3.0
1363,11.1,3.0
1364,11.1,3.4
1365,11.1,4.3
1366,10.7,5.0
1367,10.4,6.4
1368,10.1,9.1
1369,9.7,10.3
1370,9.6,11.6
